ID,ジャンル,日本語,英語名
1,食べ物,寿司,sushi
2,食べ物,ラーメン,ramen noodles
3,食べ物,カレー,curry
4,食べ物,ピザ,pizza
5,食べ物,ハンバーガー,hamburger
6,食べ物,天ぷら,tempura
7,食べ物,うどん,udon noodles
8,食べ物,そば,soba noodles
9,食べ物,おにぎり,rice ball
10,食べ物,たこ焼き,takoyaki octopus balls
11,食べ物,焼き鳥,grilled chicken skewers
12,食べ物,餃子,dumplings
13,食べ物,チャーハン,fried rice
14,食べ物,パスタ,pasta
15,食べ物,サラダ,salad
16,食べ物,ステーキ,steak
17,食べ物,焼肉,grilled meat
18,食べ物,しゃぶしゃぶ,hot pot
19,食べ物,お好み焼き,savory pancake
20,食べ物,牛丼,beef bowl
21,食べ物,親子丼,chicken and egg bowl
22,食べ物,カツ丼,pork cutlet bowl
23,食べ物,オムライス,omelet rice
24,食べ物,カレーパン,curry bread
25,食べ物,メロンパン,melon bread
26,食べ物,クロワッサン,croissant
27,食べ物,ドーナツ,donut
28,食べ物,ケーキ,cake
29,食べ物,プリン,pudding
30,食べ物,アイスクリーム,ice cream
31,食べ物,チョコレート,chocolate
32,食べ物,ポテトチップス,potato chips
33,食べ物,せんべい,rice crackers
34,食べ物,団子,dumplings
35,食べ物,大福,mochi rice cake
36,食べ物,たい焼き,fish-shaped pastry
37,食べ物,わたあめ,cotton candy
38,食べ物,かき氷,shaved ice
39,食べ物,コーヒー,coffee
40,食べ物,紅茶,tea
41,食べ物,緑茶,green tea
42,乗り物,軽自動車,compact car
43,乗り物,普通自動車,sedan
44,乗り物,高級車,luxury car
45,乗り物,スポーツカー,sports car
46,乗り物,ワゴン車,station wagon
47,乗り物,ミニバン,minivan
48,乗り物,SUV,SUV
49,乗り物,トラック,truck
50,乗り物,バス,bus
51,乗り物,タクシー,taxi
52,乗り物,パトカー,police car
53,乗り物,救急車,ambulance
54,乗り物,消防車,fire truck
55,乗り物,ショベルカー,excavator
56,乗り物,ブルドーザー,bulldozer
57,乗り物,クレーン車,crane truck
58,乗り物,ダンプカー,dump truck
59,乗り物,フォークリフト,forklift
60,乗り物,トラクター,tractor
61,乗り物,コンバイン,combine harvester
62,乗り物,耕運機,cultivator
63,乗り物,ロードローラー,road roller
64,乗り物,ミキサー車,concrete mixer truck
65,乗り物,ゴミ収集車,garbage truck
66,乗り物,タンクローリー,tank truck
67,乗り物,新幹線,bullet train
68,乗り物,特急電車,express train
69,乗り物,普通電車,local train
70,乗り物,地下鉄,subway
71,乗り物,路面電車,streetcar
72,乗り物,モノレール,monorail
73,乗り物,蒸気機関車,steam locomotive
74,乗り物,貨物列車,freight train
75,乗り物,旅客機,passenger aircraft
76,乗り物,戦闘機,fighter jet
77,乗り物,ヘリコプター,helicopter
78,乗り物,プロペラ機,propeller plane
79,乗り物,グライダー,glider
80,乗り物,気球,hot air balloon
81,乗り物,ロケット,rocket
82,乗り物,宇宙船,spacecraft
83,乗り物,客船,cruise ship
84,乗り物,タンカー,oil tanker
85,乗り物,漁船,fishing boat
86,乗り物,ヨット,yacht
87,乗り物,カヌー,canoe
88,乗り物,水上バイク,jet ski
89,乗り物,潜水艦,submarine
90,乗り物,フェリー,ferry
91,乗り物,原付バイク,scooter
92,乗り物,オートバイ,motorcycle
93,乗り物,電動自転車,electric bicycle
94,乗り物,三輪車,tricycle
95,乗り物,一輪車,unicycle
96,乗り物,スケートボード,skateboard
97,乗り物,キックボード,kick scooter
98,乗り物,セグウェイ,segway
99,乗り物,車椅子,wheelchair
100,乗り物,ベビーカー,baby stroller
101,乗り物,リヤカー,cart
102,乗り物,馬車,horse carriage
103,日用品,スマートフォン,smartphone
104,日用品,パソコン,computer
105,日用品,テレビ,television
106,日用品,冷蔵庫,refrigerator
107,日用品,洗濯機,washing machine
108,日用品,エアコン,air conditioner
109,日用品,掃除機,vacuum cleaner
110,日用品,電子レンジ,microwave
